business_id,text,category,detected_domain,allowed_domains,is_allowed
M003,Amazing exercise! Perfect for exercise needs,sports,sports,"beauty,fashion,sports",1
B013,Premium fruits services available,grocery,grocery,grocery,1
B004,Amazing fitness! Perfect for hospital needs,health,health,health,1
M002,Looking for household? We've got you covered,grocery,grocery,"automotive,beauty,books,electronics,fashion,grocery,sports",1
M008,Just launched our new hospital range,health,health,"beauty,fashion,health",1
B006,Looking for clothing? We've got you covered,fashion,fashion,fashion,1
B010,Amazing art! Perfect for performance needs,entertainment,entertainment,entertainment,1
B005,Discover finance and finance today,finance,finance,finance,1
M006,Amazing gaming! Perfect for concert needs,entertainment,entertainment,"entertainment,travel",1
B005,Just launched our new stock range,finance,finance,finance,1
M004,Shop now for premium fresh at great prices,grocery,grocery,"food,grocery",1
B005,Looking for credit? We've got you covered,finance,finance,finance,1
B002,Best app ever!,tech,tech,tech,1
M001,Shop now for premium household at great prices,grocery,grocery,"automotive,beauty,books,electronics,fashion,grocery,sports,tech",1
B002,Discover technology and coding today,tech,tech,tech,1
M008,Looking for doctor? We've got you covered,health,health,"beauty,fashion,health",1
B009,Shop now for premium land at great prices,real_estate,real_estate,real_estate,1
M002,Just launched our new car range,automotive,automotive,"automotive,beauty,books,electronics,fashion,grocery,sports",1
B002,New arrival: Latest coding collection,tech,tech,tech,1
M001,Just launched our new trend range,fashion,fashion,"automotive,beauty,books,electronics,fashion,grocery,sports,tech",1
M002,Just launched our new athletic range,sports,sports,"automotive,beauty,books,electronics,fashion,grocery,sports",1
M002,Order fashion online now,fashion,fashion,"automotive,beauty,books,electronics,fashion,grocery,sports",1
M005,Best cooking ever!,food,food,"food,grocery",1
B009,New arrival: Latest apartment collection,real_estate,real_estate,real_estate,1
M007,Just launched our new art range,entertainment,entertainment,"entertainment,travel",1
M006,Discover gaming and media today,entertainment,entertainment,"entertainment,travel",1
M001,Amazing books! Perfect for ebook needs,books,books,"automotive,beauty,books,electronics,fashion,grocery,sports,tech",1
B009,Discover home and buy today,real_estate,real_estate,real_estate,1
M007,Best movie ever!,entertainment,entertainment,"entertainment,travel",1
M001,Discover digital and coding today,tech,tech,"automotive,beauty,books,electronics,fashion,grocery,sports,tech",1
B009,Looking for rent? We've got you covered,real_estate,real_estate,real_estate,1
M001,New arrival: Latest smart collection,electronics,electronics,"automotive,beauty,books,electronics,fashion,grocery,sports,tech",1
B057,Exclusive education deals - limited time offer,education,education,education,1
M004,Premium recipe services available,food,food,"food,grocery",1
B005,Order wealth online now,finance,finance,finance,1
M003,Just launched our new style range,fashion,fashion,"beauty,fashion,sports",1
M001,Discover supermarket and fruits today,grocery,grocery,"automotive,beauty,books,electronics,fashion,grocery,sports,tech",1
B005,Shop now for premium stock at great prices,finance,finance,finance,1
M001,Premium engine services available,automotive,automotive,"automotive,beauty,books,electronics,fashion,grocery,sports,tech",1
B005,Shop now for premium insurance at great prices,finance,finance,finance,1
B014,Just launched our new salon range,beauty,beauty,beauty,1
M003,Premium cosmetics services available,beauty,beauty,"beauty,fashion,sports",1
B007,Shop now for premium phone at great prices,electronics,electronics,electronics,1
M002,Amazing reading! Perfect for publication needs,books,books,"automotive,beauty,books,electronics,fashion,grocery,sports",1
M008,Order doctor online now,health,health,"beauty,fashion,health",1
B015,Best outdoor ever!,sports,sports,sports,1
B004,Shop now for premium fitness at great prices,health,health,health,1
M001,Order code online now,tech,tech,"automotive,beauty,books,electronics,fashion,grocery,sports,tech",1
B011,Premium ebook services available,books,books,books,1
B011,Just launched our new journal range,books,books,books,1
M001,Shop now for premium machine learning at great prices,tech,tech,"automotive,beauty,books,electronics,fashion,grocery,sports,tech",1
B015,Premium erotic services available,adult_content,adult_content,sports,0
M001,Shop now for premium publication at great prices,books,books,"automotive,beauty,books,electronics,fashion,grocery,sports,tech",1
B003,Order education online now,education,education,education,1
B010,Exclusive movie deals - limited time offer,entertainment,entertainment,entertainment,1
M007,New arrival: Latest art collection,entertainment,entertainment,"entertainment,travel",1
B002,New arrival: Latest AI collection,tech,tech,tech,1
M007,Order flight online now,travel,travel,"entertainment,travel",1
B003,New arrival: Latest pistol collection,weapons,weapons,education,0
B014,Premium salon services available,beauty,beauty,beauty,1
B008,Discover drive and road today,automotive,automotive,automotive,1
M001,Best coding ever!,tech,tech,"automotive,beauty,books,electronics,fashion,grocery,sports,tech",1
M001,Best fitness equipment ever!,sports,sports,"automotive,beauty,books,electronics,fashion,grocery,sports,tech",1
B010,Discover gaming and concert today,entertainment,entertainment,entertainment,1
M007,Exclusive hotel deals - limited time offer,travel,travel,"entertainment,travel",1
B009,Discover land and land today,real_estate,real_estate,real_estate,1
M008,Looking for pharmacy? We've got you covered,health,health,"beauty,fashion,health",1
B005,Discover banking and finance today,finance,finance,finance,1
B003,Best credit ever!,finance,finance,education,0
M006,Exclusive performance deals - limited time offer,entertainment,entertainment,"entertainment,travel",1
M001,Looking for fragrance? We've got you covered,beauty,beauty,"automotive,beauty,books,electronics,fashion,grocery,sports,tech",1
M003,Just launched our new wear range,fashion,fashion,"beauty,fashion,sports",1
M003,Best skincare ever!,beauty,beauty,"beauty,fashion,sports",1
M008,Discover wellness and pharmacy today,health,health,"beauty,fashion,health",1
M004,Premium cuisine services available,food,food,"food,grocery",1
M001,Amazing fitness equipment! Perfect for athletic needs,sports,sports,"automotive,beauty,books,electronics,fashion,grocery,sports,tech",1
B003,Premium mature services available,adult_content,adult_content,education,0
M005,Discover essentials and essentials today,grocery,grocery,"food,grocery",1
M001,Looking for makeup? We've got you covered,beauty,beauty,"automotive,beauty,books,electronics,fashion,grocery,sports,tech",1
M002,Discover laptop and tablet today,electronics,electronics,"automotive,beauty,books,electronics,fashion,grocery,sports",1
B003,Amazing university! Perfect for training needs,education,education,education,1
M006,Just launched our new streaming range,entertainment,entertainment,"entertainment,travel",1
M007,New arrival: Latest performance collection,entertainment,entertainment,"entertainment,travel",1
B008,Premium transport services available,automotive,automotive,automotive,1
B002,Order program online now,tech,tech,tech,1
M007,Looking for concert? We've got you covered,entertainment,entertainment,"entertainment,travel",1
M002,Exclusive car deals - limited time offer,automotive,automotive,"automotive,beauty,books,electronics,fashion,grocery,sports",1
M005,Shop now for premium ammunition at great prices,weapons,weapons,"food,grocery",0
M008,Looking for health? We've got you covered,health,health,"beauty,fashion,health",1
M001,Just launched our new apparel range,fashion,fashion,"automotive,beauty,books,electronics,fashion,grocery,sports,tech",1
B009,Shop now for premium property at great prices,real_estate,real_estate,real_estate,1
B010,New arrival: Latest show collection,entertainment,entertainment,entertainment,1
M008,Amazing pharmacy! Perfect for care needs,health,health,"beauty,fashion,health",1
B003,Exclusive school deals - limited time offer,education,education,education,1
M006,Shop now for premium film at great prices,entertainment,entertainment,"entertainment,travel",1
M001,Discover fragrance and spa today,beauty,beauty,"automotive,beauty,books,electronics,fashion,grocery,sports,tech",1
M003,Amazing poker! Perfect for lottery needs,gambling,gambling,"beauty,fashion,sports",0
M003,Exclusive accessories deals - limited time offer,fashion,fashion,"beauty,fashion,sports",1
M005,Order dining online now,food,food,"food,grocery",1
M005,Exclusive building deals - limited time offer,real_estate,real_estate,"food,grocery",0
B005,Order insurance online now,finance,finance,finance,1
M001,Looking for digital? We've got you covered,tech,tech,"automotive,beauty,books,electronics,fashion,grocery,sports,tech",1
B009,Looking for villa? We've got you covered,real_estate,real_estate,real_estate,1
M001,Looking for trend? We've got you covered,fashion,fashion,"automotive,beauty,books,electronics,fashion,grocery,sports,tech",1
M001,Best drive ever!,automotive,automotive,"automotive,beauty,books,electronics,fashion,grocery,sports,tech",1
B057,Premium skills services available,education,education,education,1
B005,Exclusive finance deals - limited time offer,finance,finance,finance,1
B005,Order loan online now,finance,finance,finance,1
M007,Premium cocaine services available,drugs,drugs,"entertainment,travel",0
M002,Order team sports online now,sports,sports,"automotive,beauty,books,electronics,fashion,grocery,sports",1
B011,Looking for literature? We've got you covered,books,books,books,1
M001,New arrival: Latest drive collection,automotive,automotive,"automotive,beauty,books,electronics,fashion,grocery,sports,tech",1
B007,Looking for laptop? We've got you covered,electronics,electronics,electronics,1
M008,Best pharmacy ever!,health,health,"beauty,fashion,health",1
B007,New arrival: Latest mobile collection,electronics,electronics,electronics,1
